,,,,,,,,,
VP Sales Engineering,Fuzzy Logix,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/7/000/1ec/32b/312df6d.jpg,"Using in-database and GPU analytics to gain greater insight, faster, from your data",,Alex,Depaoli,4,Auditorium,11:45
Industry Leader for Manufacturing & IoT,Cloudera,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/2/000/0f2/24b/1391623.jpg,Industrial Revolution 4.0 - Driving IoT Enabled Predictive Maintenance,,Dave,Shuman,3,P0838,11:00
Solutions Engineer,Confluent,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAAnoAAAAJDc2MTYxZTY0LTA5YWEtNGVhYi04NjMyLTE2MzZiZjI5YjNiZQ.jpg,Building Streaming Applications with Apache Kafka,,Cliff,Gilmore,4,P1838,11:45
CTO,Dell EMC Services Big Data,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAADbAAAAJDQyZTViYzZkLWUzMzAtNDZmMS1iMTM0LTNjNTk4NGYxOWFhOA.jpg,Monetizing Your Data Science,,Bill,Schmarzo,1,Garden Room,9:00
"Analytics, Cognitive Computing & IoT",Evolving Solutions,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAAI7AAAAJGMyYzcyZDA1LTFiN2UtNDA5ZC1hN2VmLTJkNmZjOTQxNjc5MA.jpg,Demystifying Cognitive Computing,,Colleen,Balda,7,P0806,3:15
"Director, Global Data Science",MapR,https://mapr.com/en/blog/author/joseph-blue/assets/joeblueone4x4.jpg,Where are we at with Deep Learning?,,Joe,Blue,5,P0806,1:15
Engineer & Scientist,The Nerdery,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/8/000/2cd/237/2d4827c.jpg,Analytics for Everyone - Designing a Modern Plug and Play Data Lake,,"Chad Dvoracek,",Kevin Schiroo,6,Garden  Room,2:15
Engineers,phData ,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAA0DAAAAJGUwZmIyZmNkLTc1NmYtNGNiNy1hODJjLTkwMjk0ZWJkMjhjOQ.jpg,Data Science on Hadoop,,"Safwan Islam,",Nipun Parasrampuria,0,,
VP Technology,Pure Storage,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/2/000/08a/2b5/05191d9.jpg,Proactive Support to Machine Learning,,Terry,Noonan,5,P0838,1:15
VP Products,Infoworks ,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/3/005/048/399/2b17bfe.jpg,Modern Data Analytics and Automated Data Warehousing,,Ramesh,Menon,10,,
Consultants,Red Pill Analytics,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/7/005/081/298/37d1f55.jpg,Creating a Cloud-Based Big Data Ecosystem with Snowflake,,"Phil Goerdt,",Mike Fuller,8,P0838,4:00
Founder & President,RapidMiner,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/5/005/048/017/172bc3c.jpg,How to Ruin your Business with Data Science & Machine Learning,,Ingo,Mierswa,2,P0806,10:00
Carlson Executive in Residence,Optum,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAAr_AAAAJGM0ZDkwOTc4LTQ2NGItNDFhZi04OTMxLTEyNmMxYWE3MGY0Nw.jpg,IDSc Data Science “End Game”,,Kevin ,Kuhn,7,Garden Room,3:15
President/CTO,"Applied Logic Engineering, Inc.",https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/6/005/08f/050/2bd7d41.jpg,The Internet of Things - Navigating the Hardware Universe,,Kelly,Nehowig,6,P1808,2:15
Software Engineer,Strava,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAAI4AAAAJDRjOWM4YjA0LTBlZDAtNDExOC04ZThkLTdmYjE4MjIzNGQ5Yw.jpg,Big Data for Better Cities,,Liam,Stewart,1,P1838,9:00
Cofounder,GogyUp,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/1/005/027/259/0f79fc9.jpg,What is a Neural Network?,,David,Radcliffe,7,P1808,3:15
